BE_16556_aut_ile_d	SRR34920127
BE_16556_aut_mid_d	SRR34920126
BE_16556_aut_rec_d	SRR34919993
BE_16556_spr_ile_d	SRR34920282
BE_16556_spr_mid_d	SRR34920197
BE_16556_spr_rec_d	SRR34920161
BE_16556_sum_ile_d	SRR34920044
BE_16556_sum_mid_d	SRR34920033
BE_16556_sum_rec_d	SRR34920153
BE_16557_aut_ile_d	SRR34920142
BE_16557_aut_mid_d	SRR34920115
BE_16557_aut_rec_d	SRR34920101
BE_16557_spr_ile_d	SRR34920112
BE_16557_spr_mid_d	SRR34919952
BE_16557_spr_rec_d	SRR34920011
BE_16557_sum_ile_d	SRR34920099
BE_16557_sum_mid_d	SRR34919941
BE_16557_sum_rec_d	SRR34920077
BE_16558_aut_ile_d	SRR34920088
BE_16558_aut_mid_d	SRR34919984
BE_16558_aut_rec_d	SRR34919992
BE_16558_spr_ile_d	SRR34919913
BE_16558_spr_mid_d	SRR34919924
BE_16558_spr_rec_d	SRR34919911
BE_16558_sum_ile_d	SRR34920300
BE_16558_sum_mid_d	SRR34920289
BE_16558_sum_rec_d	SRR34919974
BE_16559_aut_ile_d	SRR34919963
BE_16559_aut_mid_d	SRR34920073
BE_16559_aut_rec_d	SRR34920062
BE_16559_spr_ile_d	SRR34920281
BE_16559_spr_mid_d	SRR34920270
BE_16559_spr_rec_d	SRR34919907
BE_16559_sum_ile_d	SRR34919895
BE_16559_sum_mid_d	SRR34919891
BE_16559_sum_rec_d	SRR34920257
BE_16560_aut_ile_d	SRR34920338
BE_16560_aut_mid_d	SRR34919877
BE_16560_aut_rec_d	SRR34920219
BE_16560_spr_ile_d	SRR34920230
BE_16560_spr_mid_d	SRR34920195
BE_16560_spr_rec_d	SRR34920207
BE_16560_sum_ile_d	SRR34920317
BE_16560_sum_mid_d	SRR34920328
BE_16560_sum_rec_d	SRR34920176
BE_16561_aut_ile_d	SRR34920187
BE_16561_aut_mid_d	SRR34920049
BE_16561_aut_rec_d	SRR34920165
BE_16561_spr_ile_d	SRR34920163
BE_16561_spr_mid_d	SRR34920162
BE_16561_spr_rec_d	SRR34920160
BE_16561_sum_ile_d	SRR34920159
BE_16561_sum_mid_d	SRR34920158
BE_16561_sum_rec_d	SRR34920052
BE_16562_aut_ile_d	SRR34920051
BE_16562_aut_mid_d	SRR34920050
BE_16562_aut_rec_d	SRR34920048
BE_16562_spr_ile_d	SRR34920155
BE_16562_spr_mid_d	SRR34920154
BE_16562_spr_rec_d	SRR34920045
BE_16562_sum_ile_d	SRR34920043
BE_16562_sum_mid_d	SRR34920042
BE_16562_sum_rec_d	SRR34920041
BE_16563_aut_ile_d	SRR34920040
BE_16563_aut_mid_d	SRR34920039
BE_16563_aut_rec_d	SRR34920038
BE_16563_spr_ile_d	SRR34920037
BE_16563_spr_mid_d	SRR34920036
BE_16563_spr_rec_d	SRR34920035
BE_16563_sum_ile_d	SRR34920034
BE_16563_sum_mid_d	SRR34920032
BE_16563_sum_rec_d	SRR34920031
CH_17685_aut_ile_d	SRR34920030
CH_17685_aut_mid_d	SRR34920029
CH_17685_aut_rec_d	SRR34920028
CH_17685_sum_ile_d	SRR34920157
CH_17685_sum_mid_d	SRR34920156
CH_17685_sum_rec_d	SRR34920137
CH_17686_sum_ile_d	SRR34920136
CH_17686_sum_mid_d	SRR34920135
CH_17686_sum_rec_d	SRR34920152
CH_17687_aut_ile_d	SRR34920151
CH_17687_aut_mid_d	SRR34920150
CH_17687_aut_rec_d	SRR34920149
CH_17687_sum_ile_d	SRR34920148
CH_17687_sum_mid_d	SRR34920147
CH_17687_sum_rec_d	SRR34920146
CH_17688_aut_ile_d	SRR34920145
