Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","056","Belgium","5110","Area","6600","Country area","2019","2019","1000 ha","3068.9","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6600","Country area","2020","2020","1000 ha","3068.9","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6601","Land area","2019","2019","1000 ha","3049.4","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6601","Land area","2020","2020","1000 ha","3049.4","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6602","Agriculture","2019","2019","1000 ha","1356.4226","I","Imputed value",""
"RL","Land Use","056","Belgium","5110","Area","6602","Agriculture","2020","2020","1000 ha","1364.6093","I","Imputed value",""
"RL","Land Use","056","Belgium","5110","Area","6610","Agricultural land","2019","2019","1000 ha","1356","A","Official figure",""
"RL","Land Use","056","Belgium","7209","Share in Land area","6610","Agricultural land","2019","2019","%","44.47","A","Official figure",""
"RL","Land Use","056","Belgium","7278","Value of agricultural production (Int. $) per Area","6610","Agricultural land","2019","2019","USD_PPP/ha","6773.15","E","Estimated value",""
"RL","Land Use","056","Belgium","5110","Area","6610","Agricultural land","2020","2020","1000 ha","1364.6093","A","Official figure",""
"RL","Land Use","056","Belgium","7209","Share in Land area","6610","Agricultural land","2020","2020","%","44.75","A","Official figure",""
"RL","Land Use","056","Belgium","7278","Value of agricultural production (Int. $) per Area","6610","Agricultural land","2020","2020","USD_PPP/ha","6772.42","E","Estimated value",""
"RL","Land Use","056","Belgium","5110","Area","6620","Cropland","2019","2019","1000 ha","880.9587","A","Official figure",""
"RL","Land Use","056","Belgium","7208","Share in Agricultural land","6620","Cropland","2019","2019","%","64.97","A","Official figure",""
"RL","Land Use","056","Belgium","7209","Share in Land area","6620","Cropland","2019","2019","%","28.89","A","Official figure",""
"RL","Land Use","056","Belgium","7277","Area per capita","6620","Cropland","2019","2019","ha/cap","0.0765","E","Estimated value",""
"RL","Land Use","056","Belgium","5110","Area","6620","Cropland","2020","2020","1000 ha","888.4901","A","Official figure",""
"RL","Land Use","056","Belgium","7208","Share in Agricultural land","6620","Cropland","2020","2020","%","65.11","A","Official figure",""
"RL","Land Use","056","Belgium","7209","Share in Land area","6620","Cropland","2020","2020","%","29.14","A","Official figure",""
"RL","Land Use","056","Belgium","7277","Area per capita","6620","Cropland","2020","2020","ha/cap","0.0768","E","Estimated value",""
"RL","Land Use","056","Belgium","5110","Area","6621","Arable land","2019","2019","1000 ha","857.286","A","Official figure",""
"RL","Land Use","056","Belgium","7208","Share in Agricultural land","6621","Arable land","2019","2019","%","63.22","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6621","Arable land","2020","2020","1000 ha","864.8766","A","Official figure",""
"RL","Land Use","056","Belgium","7208","Share in Agricultural land","6621","Arable land","2020","2020","%","63.38","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6630","Temporary crops","2019","2019","1000 ha","751.6466","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6630","Temporary crops","2020","2020","1000 ha","754.4666","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6633","Temporary meadows and pastures","2019","2019","1000 ha","95.7919","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6633","Temporary meadows and pastures","2020","2020","1000 ha","93.94","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6640","Temporary fallow","2019","2019","1000 ha","9.8475","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6640","Temporary fallow","2020","2020","1000 ha","16.47","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6650","Permanent crops","2019","2019","1000 ha","23.6727","A","Official figure",""
"RL","Land Use","056","Belgium","7208","Share in Agricultural land","6650","Permanent crops","2019","2019","%","1.75","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6650","Permanent crops","2020","2020","1000 ha","23.6135","A","Official figure",""
"RL","Land Use","056","Belgium","7208","Share in Agricultural land","6650","Permanent crops","2020","2020","%","1.73","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6655","Permanent meadows and pastures","2019","2019","1000 ha","475.464","A","Official figure",""
"RL","Land Use","056","Belgium","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2019","2019","%","35.06","A","Official figure",""
"RL","Land Use","056","Belgium","7209","Share in Land area","6655","Permanent meadows and pastures","2019","2019","%","15.59","A","Official figure",""
