Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","t","6245.92","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","056","Belgium","5159","Use per area of cropland","1357","Pesticides (total)","2017","2017","kg/ha","7.27","E","Estimated value","Estimated Value"
"RP","Pesticides Use","056","Belgium","5172","Use per capita","1357","Pesticides (total)","2017","2017","kg/cap","0.55","E","Estimated value","Estimated Value"
"RP","Pesticides Use","056","Belgium","5173","Use per value of agricultural production","1357","Pesticides (total)","2017","2017","g/Int$","0.67","E","Estimated value","Estimated Value"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","t","6355.29","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","056","Belgium","5159","Use per area of cropland","1357","Pesticides (total)","2018","2018","kg/ha","7.27","E","Estimated value","Estimated Value"
"RP","Pesticides Use","056","Belgium","5172","Use per capita","1357","Pesticides (total)","2018","2018","kg/cap","0.56","E","Estimated value","Estimated Value"
"RP","Pesticides Use","056","Belgium","5173","Use per value of agricultural production","1357","Pesticides (total)","2018","2018","g/Int$","0.71","E","Estimated value","Estimated Value"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","t","5940.6","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","056","Belgium","5159","Use per area of cropland","1357","Pesticides (total)","2019","2019","kg/ha","6.74","E","Estimated value","Estimated Value"
"RP","Pesticides Use","056","Belgium","5172","Use per capita","1357","Pesticides (total)","2019","2019","kg/cap","0.52","E","Estimated value","Estimated Value"
"RP","Pesticides Use","056","Belgium","5173","Use per value of agricultural production","1357","Pesticides (total)","2019","2019","g/Int$","0.65","E","Estimated value","Estimated Value"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","5667.46","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","056","Belgium","5159","Use per area of cropland","1357","Pesticides (total)","2020","2020","kg/ha","6.38","E","Estimated value","Estimated Value"
"RP","Pesticides Use","056","Belgium","5172","Use per capita","1357","Pesticides (total)","2020","2020","kg/cap","0.49","E","Estimated value","Estimated Value"
"RP","Pesticides Use","056","Belgium","5173","Use per value of agricultural production","1357","Pesticides (total)","2020","2020","g/Int$","0.61","E","Estimated value","Estimated Value"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1309","Insecticides","2017","2017","t","862.87","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1309","Insecticides","2018","2018","t","778.11","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1309","Insecticides","2019","2019","t","617.79","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1309","Insecticides","2020","2020","t","763.92","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","2017","2017","t","0","A","Official figure","Official figure"
