Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","056","Belgium","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","11490.618","X","Figure from international organizations",""
"OA","Annual population","056","Belgium","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","5663.949","X","Figure from international organizations",""
"OA","Annual population","056","Belgium","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","5826.669","X","Figure from international organizations",""
"OA","Annual population","056","Belgium","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","226.556","X","Figure from international organizations",""
"OA","Annual population","056","Belgium","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","11336.228","X","Figure from international organizations",""
"OA","Annual population","056","Belgium","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","11540.107","X","Figure from international organizations",""
"OA","Annual population","056","Belgium","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 No","5691.736","X","Figure from international organizations",""
"OA","Annual population","056","Belgium","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 No","5848.37","X","Figure from international organizations",""
"OA","Annual population","056","Belgium","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 No","223.197","X","Figure from international organizations",""
"OA","Annual population","056","Belgium","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 No","11396.775","X","Figure from international organizations",""
"OA","Annual population","250","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","65729.459","X","Figure from international organizations",""
"OA","Annual population","250","France","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","31832.377","X","Figure from international organizations",""
"OA","Annual population","250","France","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","33897.082","X","Figure from international organizations",""
"OA","Annual population","250","France","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","12631.632","X","Figure from international organizations",""
"OA","Annual population","250","France","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","52849.078","X","Figure from international organizations",""
"OA","Annual population","250","France","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","65905.277","X","Figure from international organizations",""
