Sort,Isolate Sort,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Exemplar or additional isolate,Virus name(s),Virus name abbreviation(s),Virus isolate designation,Virus GENBANK accession,Genome coverage,Genome composition,Host Source
1,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Ligamenvirales,NA,Lipothrixviridae,NA,Alphalipothrixvirus,NA,Alphalipothrixvirus SBFV2,E,Sulfolobales Beppu filamentous virus 2,SBFV2,SBFV2 clone B,MK064563,Complete coding genome,dsDNA,archaea
2,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Ligamenvirales,NA,Lipothrixviridae,NA,Alphalipothrixvirus,NA,Alphalipothrixvirus SFV1,E,Sulfolobus filamentous virus 1,SFV1,SFV1 isolate S48,MH447526,Complete genome,dsDNA,archaea
3,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Ligamenvirales,NA,Lipothrixviridae,NA,Betalipothrixvirus,NA,Acidianus filamentous virus 3,E,Acidianus filamentous virus 3,AFV3,NA,AM087120,Complete genome,dsDNA,archaea
4,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Ligamenvirales,NA,Lipothrixviridae,NA,Betalipothrixvirus,NA,Acidianus filamentous virus 6,E,Acidianus filamentous virus 6,AFV6,NA,AM087121,Complete genome,dsDNA,archaea
5,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Ligamenvirales,NA,Lipothrixviridae,NA,Betalipothrixvirus,NA,Acidianus filamentous virus 7,E,Acidianus filamentous virus 7,AFV7,NA,AM087122,Complete genome,dsDNA,archaea
6,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Ligamenvirales,NA,Lipothrixviridae,NA,Betalipothrixvirus,NA,Acidianus filamentous virus 8,E,Acidianus filamentous virus 8,AFV8,NA,AM087123,Complete genome,dsDNA,archaea
7,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Ligamenvirales,NA,Lipothrixviridae,NA,Betalipothrixvirus,NA,Acidianus filamentous virus 9,E,Acidianus filamentous virus 9,AFV9,NA,EU545650,Complete genome,dsDNA,archaea
8,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Ligamenvirales,NA,Lipothrixviridae,NA,Betalipothrixvirus,NA,Sulfolobus islandicus filamentous virus,E,Sulfolobus islandicus filamentous virus,SIFV,NA,AF440571,Complete genome,dsDNA,archaea
9,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Ligamenvirales,NA,Lipothrixviridae,NA,Deltalipothrixvirus,NA,Acidianus filamentous virus 2,E,Acidianus filamentous virus 2,AFV2,NA,AJ854042,Complete genome,dsDNA,archaea
10,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Ligamenvirales,NA,Lipothrixviridae,NA,Deltalipothrixvirus,NA,Deltalipothrixvirus SBFV3,E,Sulfolobales Beppu filamentous virus 3,SBFV3,SBFV3 clone C,MK064564,Complete coding genome,dsDNA,archaea
11,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Ligamenvirales,NA,Rudiviridae,NA,Azorudivirus,NA,Azorudivirus SRV,E,Stygiolobus rod-shaped virus,SRV,NA,FM164764,Complete coding genome,dsDNA,archaea
12,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Ligamenvirales,NA,Rudiviridae,NA,Hoswirudivirus,NA,Hoswirudivirus ARV2,E,Acidianus rod-shaped virus 2,ARV2,NA,KP282675,Complete coding genome,dsDNA,archaea
13,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Ligamenvirales,NA,Rudiviridae,NA,Hoswirudivirus,NA,Hoswirudivirus ARV3,E,Acidianus rod-shaped virus 3,ARV3,NA,MN876842,Complete coding genome,dsDNA,archaea
14,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Ligamenvirales,NA,Rudiviridae,NA,Hoswirudivirus,NA,Hoswirudivirus MRV1,E,Metallosphaera rod-shaped virus 1,MRV1,NA,MN876843,Complete coding genome,dsDNA,archaea
15,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Ligamenvirales,NA,Rudiviridae,NA,Hoswirudivirus,NA,Hoswirudivirus SSRV1,E,Saccharolobus solfataricus rod-shaped virus 1,SSRV1,NA,MN876841,Complete coding genome,dsDNA,archaea
16,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Ligamenvirales,NA,Rudiviridae,NA,Icerudivirus,NA,Icerudivirus SIRV1,E,Sulfolobus islandicus rod-shaped virus 1,SIRV1,NA,AJ414696,Complete genome,dsDNA,archaea
17,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Ligamenvirales,NA,Rudiviridae,NA,Icerudivirus,NA,Icerudivirus SIRV2,E,Sulfolobus islandicus rod-shaped virus 2,SIRV2,NA,AJ344259,Complete genome,dsDNA,archaea
18,1,Adnaviria,NA,Zilligvirae,NA,Taleaviricota,NA,Tokiviricetes,NA,Ligamenvirales,NA,Rudiviridae,NA,Icerudivirus,NA,Icerudivirus SIRV3,E,Sulfolobus islandicus rod-shaped virus 3,SIRV3,NA,KX712143,Complete coding genome,dsDNA,archaea
