contig;Subgroup
NODE_A43_length_3066_cov_5.267983_RO_17382_aut_mid_d;Family1
NODE_A130_length_3009_cov_6.250000_BE_16561_aut_mid_d;Family3
NODE_A257_length_4634_cov_14.152074_BE_16562_aut_mid_d;Family3
NODE_A202_length_2392_cov_4.676026_BE_16561_aut_mid_d;Family3
NODE_A25_length_4785_cov_26.936703_NL_19102_aut_mid_d;Family3
NODE_A26_length_4777_cov_4.931702_BE_16559_aut_mid_d;Family3
NODE_A33_length_4912_cov_5.773320_BE_16561_aut_mid_d;Family3
NODE_A117_length_3543_cov_10.148009_BE_16561_sum_mid_d;Family3
NODE_A311_length_3314_cov_3.941304_DE_18032_sum_mid_d;Family3
NODE_A188_length_4346_cov_16.926915_BE_16556_spr_mid_d;Family3
NODE_A1214_length_2642_cov_5.872904_CH_17690_aut_rec_d;Family3
NODE_A65_length_4291_cov_5.556478_BE_16561_aut_mid_d;Family3
NODE_A224_length_4051_cov_8.931807_DE_18032_sum_mid_d;Family3
NODE_A390_length_2477_cov_7.127917_NL_19102_sum_mid_d;Family3
NODE_A344_length_2873_cov_2.967811_NL_19104_aut_mid_d;Family3
NODE_A63_length_4293_cov_11.458017_PT_19412_spr_mid_d;Family3
NODE_A410_length_2814_cov_4.494702_DE_18032_sum_mid_d;Family3
NODE_A479_length_2425_cov_4.439097_NL_19104_aut_mid_d;Family3
NODE_A32_length_4486_cov_4.747108_BE_16559_aut_mid_d;Family3
NODE_A733_length_2696_cov_7.121039_BE_16562_aut_mid_d;Family3
NODE_A534_length_3980_cov_3.037663_DE_18030_spr_rec_d;Family3
NODE_A63_length_4544_cov_17.564809_BE_16558_aut_mid_d;Family3
NODE_A58_length_4579_cov_8.113949_PT_19412_spr_mid_d;Family3
NODE_A149_length_2274_cov_17.806554_RO_26022_aut_mid_d;Family3
NODE_A221_length_2948_cov_5.120167_NL_19103_aut_mid_d;Family3
NODE_A644_length_3638_cov_4.206684_CH_17690_aut_rec_d;Family3
NODE_A75_length_3612_cov_5.779349_PT_19414_sum_mid_d;Family3
NODE_A136_length_4850_cov_8.349466_DE_18032_sum_mid_d;Family3
NODE_A80_length_2984_cov_9.475748_PT_19407_spr_mid_d;Family3
NODE_A256_length_2725_cov_5.648414_NL_19103_aut_mid_d;Family3
