contig,Host_group
NODE_A103_length_4359_cov_9.754554_PT_19410_aut_mid_d,other
NODE_A104_length_10583_cov_46.662764_CH_17688_aut_mid_d,Lactobacillus
NODE_A107_length_4131_cov_3.961519_NL_19100_aut_mid_d,other
NODE_A108_length_10312_cov_15.102491_PT_19414_sum_rec_d,Bifidobacterium
NODE_A10_length_11565_cov_277.762100_BE_16559_sum_ile_d,Lactobacillus
NODE_A10_length_17850_cov_69.520171_BE_16559_sum_rec_d,Bifidobacterium
NODE_A10_length_18689_cov_34.578813_BE_16563_spr_rec_d,Bifidobacterium
NODE_A10_length_19097_cov_173.200105_UK_15140_sum_rec_d,Bifidobacterium
NODE_A10_length_24019_cov_1223.151157_BE_16562_spr_rec_d,Bifidobacterium
NODE_A10_length_24114_cov_44.217956_RO_17382_aut_rec_d,Gilliamella
NODE_A10_length_26395_cov_29.598298_FR_19774_sum_rec_d,Lactobacillus
NODE_A10_length_27317_cov_646.970778_DE_18027_aut_rec_d,Gilliamella
NODE_A10_length_27663_cov_77.860146_NL_19100_sum_rec_d,Lactobacillus
NODE_A10_length_27725_cov_45.180483_DE_18029_spr_mid_d,Gilliamella
NODE_A10_length_28375_cov_28.685985_RO_17371_sum_rec_d,Lactobacillus
NODE_A10_length_29232_cov_59.894358_DE_18030_spr_rec_d,Bifidobacterium
NODE_A10_length_29571_cov_176.955584_RO_17378_sum_rec_d,other
NODE_A10_length_30505_cov_44.205534_PT_19413_spr_rec_d,Lactobacillus
NODE_A10_length_30913_cov_20.162408_NL_19102_spr_mid_d,Gilliamella
NODE_A10_length_31664_cov_43.188685_RO_17381_sum_rec_d,Bifidobacterium
NODE_A10_length_31818_cov_571.513657_DE_18032_sum_rec_d,Bifidobacterium
NODE_A10_length_32307_cov_83.050977_FR_19773_sum_rec_d,Bifidobacterium
NODE_A10_length_32309_cov_92.306683_NL_19101_aut_rec_d,Bifidobacterium
NODE_A10_length_32958_cov_110.975700_PT_19410_aut_rec_d,Gilliamella
NODE_A10_length_33219_cov_230.495595_RO_17377_sum_rec_d,Lactobacillus
NODE_A10_length_37977_cov_44.201847_DE_18029_sum_rec_d,Snodgrassella
NODE_A10_length_38276_cov_57.346580_BE_16561_aut_rec_d,Bifidobacterium
NODE_A10_length_38276_cov_88.902301_PT_19412_spr_rec_d,other
NODE_A10_length_38873_cov_211.650351_PT_19413_sum_rec_d,Bartonella
NODE_A10_length_41499_cov_84.018468_NL_19104_aut_rec_d,other
NODE_A10_length_42360_cov_1708.058345_BE_16560_aut_ile_d,Lactobacillus
NODE_A10_length_4573_cov_45.079626_NL_19101_aut_mid_d,other
NODE_A10_length_48857_cov_20.302604_NL_19103_aut_rec_d,other
NODE_A110_length_3824_cov_7.411796_BE_16558_aut_mid_d,other
NODE_A116_length_10541_cov_22.600248_PT_19412_sum_rec_d,Bifidobacterium
NODE_A117_length_3149_cov_5.837565_FR_19767_sum_mid_d,other
NODE_A118_length_3580_cov_11.358835_BE_16558_aut_mid_d,other
NODE_A118_length_4749_cov_11.142337_DE_18029_spr_mid_d,other
NODE_A11_length_16302_cov_6615.964772_UK_14502_aut_rec_d,Lactobacillus
NODE_A11_length_16877_cov_17.511548_DE_18027_sum_rec_d,Bifidobacterium
NODE_A11_length_18303_cov_867.169587_UK_14501_sum_rec_d,Bifidobacterium
NODE_A11_length_18372_cov_163.233183_RO_17363_spr_rec_d,Bifidobacterium
NODE_A11_length_19282_cov_20.569956_DE_18028_spr_ile_d,Gilliamella
NODE_A11_length_23961_cov_55.005066_BE_16561_sum_mid_d,Gilliamella
NODE_A11_length_24540_cov_28.205330_PT_19408_sum_rec_d,Lactobacillus
NODE_A11_length_24845_cov_38.247820_FR_19772_aut_rec_d,Gilliamella
NODE_A11_length_25249_cov_29.733434_DE_18033_aut_mid_d,other
NODE_A11_length_26284_cov_49.649292_PT_19411_spr_rec_d,Gilliamella
NODE_A11_length_28681_cov_59.777549_NL_19102_spr_rec_d,other
NODE_A11_length_30474_cov_26.060730_RO_17380_sum_ile_d,Bifidobacterium
NODE_A11_length_31669_cov_451.611357_BE_16558_sum_mid_d,Bifidobacterium
NODE_A11_length_31718_cov_40.338738_CH_17691_sum_rec_d,Bifidobacterium
NODE_A11_length_32107_cov_154.046394_FR_19773_sum_rec_d,Bifidobacterium
NODE_A11_length_32172_cov_624.599221_NL_19101_aut_rec_d,Bifidobacterium
NODE_A11_length_34650_cov_153.251352_BE_16562_sum_rec_d,other
NODE_A11_length_34858_cov_26.757856_BE_16557_aut_rec_d,Lactobacillus
NODE_A11_length_35425_cov_20.236675_CH_17689_aut_rec_d,Bartonella
NODE_A11_length_35507_cov_47.433700_PT_19412_spr_rec_d,Snodgrassella
NODE_A11_length_35709_cov_204.624439_CH_17692_sum_rec_d,Gilliamella
NODE_A11_length_36217_cov_37.363337_CH_17691_aut_ile_d,other
NODE_A11_length_37446_cov_81.668094_DE_18029_sum_rec_d,Gilliamella
NODE_A11_length_48024_cov_343.145244_NL_19103_aut_rec_d,Lactobacillus
NODE_A11_length_4810_cov_7.982464_RO_17378_aut_mid_d,other
NODE_A121_length_4460_cov_7.185261_NL_19102_sum_mid_d,other
NODE_A124_length_3910_cov_5.672580_NL_19103_aut_mid_d,other
NODE_A125_length_11397_cov_80.381272_NL_19104_aut_rec_d,Lactobacillus
NODE_A127_length_5651_cov_8.076606_DE_18030_spr_mid_d,other
NODE_A129_length_3322_cov_15.527581_BE_16558_aut_mid_d,other
NODE_A12_length_15305_cov_21.290846_NL_19100_sum_mid_d,other
NODE_A12_length_15655_cov_22.809988_FR_19772_sum_rec_d,Lactobacillus
NODE_A12_length_16040_cov_170.797171_DE_18030_aut_rec_d,Lactobacillus
NODE_A12_length_20791_cov_22.025683_UK_14500_aut_rec_d,Bombilactobacillus
NODE_A12_length_21257_cov_10.186261_CH_17687_aut_rec_d,Lactobacillus
NODE_A12_length_22330_cov_33.780794_BE_16561_sum_mid_d,other
NODE_A12_length_24660_cov_35.204369_FR_19774_sum_rec_d,Lactobacillus
NODE_A12_length_25018_cov_40.207129_RO_26022_aut_rec_d,Gilliamella
NODE_A12_length_25532_cov_1128.144372_BE_16560_spr_rec_d,Bifidobacterium
NODE_A12_length_28860_cov_98.942466_NL_19102_spr_mid_d,other
NODE_A12_length_30614_cov_250.787176_FR_19773_sum_rec_d,Bifidobacterium
NODE_A12_length_30907_cov_95.665229_PT_19410_aut_rec_d,Lactobacillus
NODE_A12_length_32351_cov_33.846006_BE_16557_aut_rec_d,Lactobacillus
NODE_A12_length_34213_cov_37.148113_BE_16562_sum_rec_d,other
NODE_A12_length_34579_cov_34.645934_CH_17689_aut_rec_d,Bartonella
NODE_A12_length_35612_cov_77.463262_BE_16562_aut_mid_d,Gilliamella
NODE_A12_length_35938_cov_313.981066_DE_18029_sum_rec_d,Bombilactobacillus
NODE_A12_length_37903_cov_105.916010_UK_14502_sum_mid_d,Bombilactobacillus
NODE_A12_length_38186_cov_219.973891_BE_16556_sum_rec_d,Lactobacillus
NODE_A12_length_39366_cov_21.300084_NL_19104_aut_rec_d,other
