Sample_ID,Tube_ID,Sample_or_control,BGOOD_sample_code,Apiary_name,Apiary_ID,Hive_name,Hive_ID,Country,Latitude,Longitude,Season,Gut_part,Health,Number_of_queens,VLPs_per_ul,Extraction_plate,Extraction_plate_row,Extraction_plate_col,Average_Qubit,Mapped_reads,Bee_Pool,Date
BE_16556_aut_ile_d,4337,sample,ZFPFLNCJ,Merendree,3386,KM 1,16556,BE,51.074,51.074,aut,ile,bad,2,NA,7,D,X3,4.7,1115503,BE_16556_aut,2020-10-12
BE_16556_aut_mid_d,4329,sample,ZFPFLNCJ,Merendree,3386,KM 1,16556,BE,51.074,51.074,aut,mid,bad,2,NA,7,C,X3,20.2,439961,BE_16556_aut,2020-10-12
BE_16556_aut_rec_d,4345,sample,ZFPFLNCJ,Merendree,3386,KM 1,16556,BE,51.074,51.074,aut,rec,bad,2,187747.9518,7,E,X3,10.1,16540984,BE_16556_aut,2020-10-12
BE_16556_spr_ile_d,612,sample,MYYMKPFS,Merendree,3386,KM 1,16556,BE,51.074,51.074,spr,ile,bad,2,NA,1,F,X6,4,362261,BE_16556_spr,2020-04-06
BE_16556_spr_mid_d,604,sample,MYYMKPFS,Merendree,3386,KM 1,16556,BE,51.074,51.074,spr,mid,bad,2,NA,1,E,X6,7.5,2104041,BE_16556_spr,2020-04-06
BE_16556_spr_rec_d,620,sample,MYYMKPFS,Merendree,3386,KM 1,16556,BE,51.074,51.074,spr,rec,bad,2,117059.5208,1,G,X6,4.1,15490593,BE_16556_spr,2020-04-06
BE_16556_sum_ile_d,362,sample,AGPPLNZG,Merendree,3386,KM 1,16556,BE,51.074,51.074,sum,ile,bad,2,NA,1,A,X3,4.9,439620,BE_16556_sum,2020-07-07
BE_16556_sum_mid_d,354,sample,AGPPLNZG,Merendree,3386,KM 1,16556,BE,51.074,51.074,sum,mid,bad,2,NA,1,H,X2,7.5,3252897,BE_16556_sum,2020-07-07
BE_16556_sum_rec_d,370,sample,AGPPLNZG,Merendree,3386,KM 1,16556,BE,51.074,51.074,sum,rec,bad,2,171457.4572,1,B,X3,7.3,16079678,BE_16556_sum,2020-07-07
BE_16557_aut_ile_d,4362,sample,NHYTDADT,Merendree,3386,KM 2 a,16557,BE,51.074,51.074,aut,ile,bad,1,NA,7,H,X3,3.9,1170004,BE_16557_aut,2020-10-12
