contig	length_kb_after_refinement	contig_length_refined	lowest_taxon	provirus	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	Host_genus	Lifestyle_replidec	GOI_PAPS reductase	GOI_Levanase	GOI_Glucosyltransferase	GOI_PnuC	GOI_Chitinase	GOI_cysH	GOI_chitinase	GOI_levanase	GOI_pnuc	GOI_glucosyltransferase
NODE_A10_length_27725_cov_45.180483_DE_18029_spr_mid_d	45.994	TRUE	novel_genus_15_of_novel_subfamily_0_of_novel_family_28_of_novel_order_111_of_Caudoviricetes	No	35	20	0	Medium-quality	Genome-fragment	58.69	AAI-based (medium-confidence)	0	Gilliamella	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A10_length_37053_cov_15.348794_PT_19407_sum_rec_d	37.053	FALSE	novel_genus_1_of_Melnykvirinae	No	41	23	0	Medium-quality	Genome-fragment	89.06	AAI-based (high-confidence)	0	unknown	Virulent	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
NODE_A10_length_37977_cov_44.201847_DE_18029_sum_rec_d	37.977	FALSE	novel_genus_0_of_novel_subfamily_0_of_novel_family_0_of_novel_order_115_of_Caudoviricetes	No	54	34	0	Medium-quality	Genome-fragment	84.51	AAI-based (medium-confidence)	0	Snodgrassella	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A11_length_31357_cov_53.276822_NL_19101_spr_mid_d	31.357	FALSE	novel_genus_0_of_novel_subfamily_1_of_novel_family_0_of_novel_order_149_of_Caudoviricetes	No	44	7	1	Complete	High-quality	100	DTR (high-confidence)	0	unknown	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A12_length_15305_cov_21.290846_NL_19100_sum_mid_d	15.305	FALSE	No Realm	No	18	3	0	Medium-quality	Genome-fragment	53.27	AAI-based (medium-confidence)	0	RF16	Temperate	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
NODE_A12_length_33392_cov_19.114753_FR_19767_sum_rec_d	33.392	FALSE	novel_genus_1_of_novel_subfamily_0_of_novel_family_0_of_novel_order_7_of_Caudoviricetes	No	63	18	1	High-quality	High-quality	100	AAI-based (high-confidence)	0	unknown	Temperate	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
NODE_A12_length_35612_cov_77.463262_BE_16562_aut_mid_d	35.612	FALSE	novel_genus_17_of_novel_subfamily_0_of_novel_family_28_of_novel_order_111_of_Caudoviricetes	No	49	29	0	Medium-quality	Genome-fragment	75.23	AAI-based (high-confidence)	0	Gilliamella	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A12_length_38214_cov_201.678370_PT_19413_sum_rec_d	38.214	FALSE	novel_genus_0_of_novel_subfamily_0_of_novel_family_0_of_novel_order_109_of_Caudoviricetes	No	54	27	0	High-quality	High-quality	92.02	AAI-based (medium-confidence)	0	unknown	Temperate	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
NODE_A13_length_26322_cov_62.511412_PT_19407_spr_rec_d	27.188	TRUE	novel_genus_9_of_novel_subfamily_0_of_novel_family_26_of_novel_order_111_of_Caudoviricetes	No	49	24	1	Medium-quality	Genome-fragment	55.8	AAI-based (medium-confidence)	0	Gilliamella	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A14_length_32631_cov_33.555846_PT_19414_sum_rec_d	32.631	FALSE	novel_genus_0_of_novel_subfamily_0_of_novel_family_0_of_novel_order_7_of_Caudoviricetes	No	62	17	2	High-quality	High-quality	99.18	AAI-based (high-confidence)	0	unknown	Temperate	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
NODE_A14_length_35378_cov_47.628849_CH_17687_aut_mid_d	35.378	FALSE	novel_genus_1_of_novel_subfamily_0_of_novel_family_2_of_novel_order_113_of_Caudoviricetes	No	60	22	0	Complete	High-quality	100	DTR (high-confidence)	0	unknown	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A15_length_29522_cov_18.608762_CH_17691_aut_ile_d	29.522	FALSE	novel_genus_2_of_novel_subfamily_3_of_Peduoviridae	No	36	21	0	High-quality	High-quality	93.6	AAI-based (medium-confidence)	0	unknown	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A15_length_37622_cov_17.205354_NL_19104_spr_rec_d	37.622	FALSE	novel_genus_1_of_novel_subfamily_7_of_novel_family_6_of_novel_order_99_of_Caudoviricetes	No	46	20	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	unknown	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A15_length_38039_cov_13.103393_NL_19103_aut_rec_d	38.039	FALSE	novel_genus_0_of_novel_subfamily_1_of_novel_family_2_of_novel_order_97_of_Caudoviricetes	No	68	17	0	Complete	High-quality	100	DTR (high-confidence)	0	unknown	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A16_length_27950_cov_17.883507_CH_17691_aut_ile_d	27.95	FALSE	novel_genus_0_of_novel_subfamily_1_of_novel_family_6_of_novel_order_99_of_Caudoviricetes	No	51	10	0	Medium-quality	Genome-fragment	74.31	AAI-based (medium-confidence)	0	unknown	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A16_length_32618_cov_23.048124_NL_19103_spr_mid_d	32.618	FALSE	novel_genus_0_of_novel_subfamily_0_of_novel_family_6_of_novel_order_90_of_Caudoviricetes	No	56	21	0	Medium-quality	Genome-fragment	86.32	AAI-based (high-confidence)	0	unknown	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A16_length_33978_cov_24.819179_UK_14502_sum_mid_d	33.978	FALSE	novel_genus_0_of_novel_subfamily_0_of_novel_family_2_of_novel_order_179_of_Caudoviricetes	No	51	18	1	Medium-quality	Genome-fragment	52.76	HMM-based (lower-bound)	0	unknown	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A17_length_24847_cov_190.785709_NL_19102_spr_rec_d	27.34	TRUE	novel_genus_7_of_novel_subfamily_0_of_novel_family_26_of_novel_order_111_of_Caudoviricetes	No	30	21	0	Medium-quality	Genome-fragment	53.88	AAI-based (medium-confidence)	0	Gilliamella	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A18_length_16760_cov_20.929869_NL_19104_aut_ile_d	16.76	FALSE	novel_genus_0_of_novel_subfamily_0_of_novel_family_4_of_novel_order_149_of_Caudoviricetes	No	23	6	0	Medium-quality	Genome-fragment	50.78	AAI-based (medium-confidence)	0	unknown	Temperate	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
NODE_A19_length_31235_cov_27.899897_BE_16563_sum_rec_d	31.235	FALSE	novel_genus_1_of_novel_subfamily_0_of_novel_family_4_of_novel_order_89_of_Caudoviricetes	No	54	14	0	Medium-quality	Genome-fragment	88.33	AAI-based (high-confidence)	0	unknown	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A19_length_36052_cov_44.517915_NL_19104_spr_rec_d	36.052	FALSE	novel_genus_1_of_novel_subfamily_0_of_novel_family_2_of_novel_order_150_of_Caudoviricetes	No	59	9	0	Complete	High-quality	100	DTR (high-confidence)	0	unknown	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A1_length_121906_cov_70.168786_NL_19100_sum_rec_d	121.906	FALSE	novel_genus_2_of_Stephanstirmvirinae	No	214	98	0	Medium-quality	Genome-fragment	82.06	AAI-based (medium-confidence)	0	unknown	Virulent	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
NODE_A1_length_122593_cov_283.900421_PT_19414_sum_rec_d	122.593	FALSE	novel_genus_3_of_Vequintavirinae	No	179	84	0	Medium-quality	Genome-fragment	83.77	AAI-based (high-confidence)	0	unknown	Virulent	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
